from,to,cost
166,166,0.0
166,57,161222.38078370888
166,165,8301.710284927516
166,9,97148.83089555407
166,8,105545.8480278764
166,349,90555.8765176394
166,113,20652.199209597453
166,357,32189.41605841037
166,197,109916.66435664082
166,196,89710.33171041348
166,131,71963.46440971646
166,422,120718.52855438083
166,220,120916.85634679571
166,212,89556.37746331848
166,666,90617.48922241264
166,70,129797.02409832925
166,122,54488.662976713014
166,168,54232.63546912083
166,1005,69664.68346673268
166,569,215952.0606855299
166,314,214905.7660738785
166,322,205542.79523962043
166,463,71417.06039885181
166,185,93366.5815123058
166,681,208046.2364958529
166,13,50012.487162363905
166,445,112216.18938334902
166,308,187992.6497200674
166,462,187567.58894151676
166,186,92417.84390697928
166,123,48380.9659058532
166,80,55352.181971169746
166,577,97449.74850823011
166,369,76296.80003754422
166,93,116798.64659176435
166,120,51371.4968831268
166,355,45387.09447985067
166,288,225264.02943649408
166,331,73459.79317964238
166,1063,175900.27601227994
166,356,31356.066675106984
166,568,213754.60539312352
166,1076,211240.03983310543
166,154,99994.28257700695
166,177,64268.385789011474
166,539,72657.29390766079
166,67,113319.8086774832
166,1066,123503.7509899124
166,48,139944.18616006788
166,68,106616.4197561583
166,591,138283.54382767418
166,175,112418.84816280575
166,139,88116.60930845476
166,172,92598.43048419515
166,170,92978.41608983542
166,200,105446.55334390151
166,348,107703.68125536155
166,667,99445.81739413876
166,347,102804.70357783532
166,209,99966.44027908659
166,147,98914.99730538133
166,460,207203.78073545644
166,3,101584.3754688391
166,100,89641.75613323122
166,6,104023.85810607739
166,242,180920.0637744564
166,1003,73078.77182025823
166,114,30812.761331487705
166,215,89142.17298333073
166,218,114745.87279139983
166,228,112502.48112379096
166,1006,72351.93502812716
166,321,205305.2115367999
166,563,50125.98922460154
166,140,95160.50561146192
166,173,55290.3273101164
166,343,62535.652576424814
166,219,119263.41115327198
166,592,120625.96820339591
166,268,197702.2710624973
166,1009,90299.6838006178
166,146,77038.4563374482
166,432,183757.4291167749
166,503,205933.40383047395
166,1044,199309.72373452314
166,304,191360.52322861843
166,49,137925.93350468774
166,38,111316.01027549795
166,128,60276.05629183759
166,442,112823.57435432887
166,451,114086.1937556226
166,152,99721.69480940019
166,332,72956.27098536085
166,1025,72813.69995241705
166,233,219369.54513517692
166,1026,91140.06463707575
166,202,114408.38593852826
166,258,203723.49063221557
166,298,231041.34386236398
166,289,233398.62186231118
166,423,121364.40155130395
166,608,120336.67632553284
166,1045,55053.42279975663
166,103,97626.57854057565
166,497,98958.7492619406
166,40,93056.40688206117
166,269,201949.38441168133
166,1011,92531.14213778563
166,150,70154.25751028607
166,562,152339.49473329072
166,71,149487.12195191204
166,108,86391.97142506234
166,132,65296.21477170165
166,452,120707.49884160979
166,124,63324.49079700012
166,345,79790.02683380534
166,382,88614.58835261673
166,346,93697.25540941318
166,79,81916.71828235815
166,610,77986.95607030921
