from,to,cost,CONZONE_ID,ST_ND_NM,END_ND_NM,,,,
155,453,5080,0010CZE040,양산JC,양산IC,,,,
453,652,14110,0010CZE050,양산IC,통도사Hi,,,,
652,160,1050,0010CZE055,통도사Hi,통도사IC,,,,
160,1027,1010,0010CZE060,통도사IC,서울주JC,,,,
204,635,17090,0010CZE080,언양JC,활천IC,,,,
635,8,11060,0010CZE085,활천IC,경주IC,,,,
8,9,10400,0010CZE090,경주IC,건천IC,,,,
9,1012,12180,0010CZE100,건천IC,영천JC,,,,
13,1051,4050,0010CZE160,금호JC,칠곡JC,,,,
1051,464,6690,0010CZE165,칠곡JC,칠곡물류IC,,,,
464,117,3180,0010CZE170,칠곡물류IC,왜관IC,,,,
117,120,13980,0010CZE180,왜관IC,남구미IC,,,,
120,122,5070,0010CZE190,남구미IC,구미IC,,,,
122,1045,6960,0010CZE200,구미IC,북구미하이패스IC,,,,
1045,80,3900,0010CZE205,북구미하이패스IC,김천JC,,,,
80,563,9120,0010CZE210,김천JC,동김천IC,,,,
563,123,7970,0010CZE215,동김천IC,김천IC,,,,
123,82,12030,0010CZE220,김천IC,추풍령IC,,,,
82,96,10080,0010CZE230,추풍령IC,황간IC,,,,
96,95,9890,0010CZE240,황간IC,영동IC,,,,
95,463,16040,0010CZE250,영동IC,금강IC,,,,
463,21,11400,0010CZE260,금강IC,옥천IC,,,,
21,108,8670,0010CZE270,옥천IC,비룡JC,,,,
108,100,4060,0010CZE280,비룡JC,대전IC,,,,
100,102,5450,0010CZE290,대전IC,회덕JC,,,,
102,104,5090,0010CZE300,회덕JC,신탄진IC,,,,
104,68,10070,0010CZE310,신탄진IC,남청주IC,,,,
68,362,3550,0010CZE320,남청주IC,청주JC,,,,
362,67,3890,0010CZE330,청주JC,남이JC,,,,
67,66,4620,0010CZE340,남이JC,청주IC,,,,
66,649,3490,0010CZE350,청주IC,옥산IC,,,,
649,673,7500,0010CZE355,옥산IC,옥산JC,,,,
673,49,13810,0010CZE357,옥산JC,목천IC,,,,
49,50,3530,0010CZE360,목천IC,천안JC,,,,
50,52,6700,0010CZE370,천안JC,천안IC,,,,
52,562,8360,0010CZE380,천안IC,북천안IC,,,,
562,247,11610,0010CZE385,북천안IC,안성IC,,,,
247,300,4830,0010CZE390,안성IC,안성JC,,,,
300,1063,7960,0010CZE400,안성JC,남사진위IC,,,,
1063,244,5310,0010CZE405,남사진위IC,오산IC,,,,
244,432,3890,0010CZE410,오산IC,동탄JC,,,,
432,462,4390,0010CZE420,동탄JC,기흥동탄IC,,,,
462,308,700,0010CZE430,기흥동탄IC,기흥IC,,,,
308,305,5090,0010CZE440,기흥IC,수원신갈IC,,,,
305,309,2680,0010CZE450,수원신갈IC,신갈JC,,,,
309,280,8340,0010CZE460,신갈JC,서울TG,,,,
280,274,3640,0010CZE470,서울TG,판교IC,,,,
274,273,1100,0010CZE480,판교IC,판교JC,,,,
273,460,390,0010CZE490,판교JC,대왕판교IC,,,,
460,681,870,0010CZE500,대왕판교IC,금토JC,,,,
681,238,6750,0010CZE505,금토JC,양재IC,,,,
238,237,2490,0010CZE510,양재IC,서초IC,,,,
237,233,1780,0010CZE520,서초IC,반포IC,,,,
233,487,1380,0010CZE521,반포IC,잠원IC,,,,
487,476,1300,0010CZE522,잠원IC,한남IC,,,,
453,155,5080,0010CZS040,양산IC,양산JC,,,,
652,453,14110,0010CZS050,통도사Hi,양산IC,,,,
160,652,1050,0010CZS055,통도사IC,통도사Hi,,,,
1027,160,1010,0010CZS060,서울주JC,통도사IC,,,,
635,204,17090,0010CZS080,활천IC,언양JC,,,,
8,635,11060,0010CZS085,경주IC,활천IC,,,,
9,8,10400,0010CZS090,건천IC,경주IC,,,,
1012,9,12180,0010CZS100,영천JC,건천IC,,,,
1051,13,4050,0010CZS160,칠곡JC,금호JC,,,,
464,1051,6690,0010CZS165,칠곡물류IC,칠곡JC,,,,
117,464,3180,0010CZS170,왜관IC,칠곡물류IC,,,,
120,117,13980,0010CZS180,남구미IC,왜관IC,,,,
122,120,5070,0010CZS190,구미IC,남구미IC,,,,
1045,122,6960,0010CZS200,북구미하이패스IC,구미IC,,,,
80,1045,3900,0010CZS205,김천JC,북구미하이패스IC,,,,
563,80,9120,0010CZS210,동김천IC,김천JC,,,,
123,563,7970,0010CZS215,김천IC,동김천IC,,,,
82,123,12030,0010CZS220,추풍령IC,김천IC,,,,
96,82,10080,0010CZS230,황간IC,추풍령IC,,,,
95,96,9890,0010CZS240,영동IC,황간IC,,,,
463,95,16040,0010CZS250,금강IC,영동IC,,,,
21,463,11400,0010CZS260,옥천IC,금강IC,,,,
108,21,8670,0010CZS270,비룡JC,옥천IC,,,,
100,108,4060,0010CZS280,대전IC,비룡JC,,,,
102,100,5450,0010CZS290,회덕JC,대전IC,,,,
104,102,5090,0010CZS300,신탄진IC,회덕JC,,,,
68,104,10070,0010CZS310,남청주IC,신탄진IC,,,,
362,68,3550,0010CZS320,청주JC,남청주IC,,,,
67,362,3890,0010CZS330,남이JC,청주JC,,,,
66,67,4620,0010CZS340,청주IC,남이JC,,,,
649,66,3490,0010CZS350,옥산IC,청주IC,,,,
673,649,7500,0010CZS355,옥산JC,옥산IC,,,,
49,673,13810,0010CZS357,목천IC,옥산JC,,,,
50,49,3530,0010CZS360,천안JC,목천IC,,,,
52,50,6700,0010CZS370,천안IC,천안JC,,,,
562,52,8360,0010CZS380,북천안IC,천안IC,,,,
247,562,11610,0010CZS385,안성IC,북천안IC,,,,
300,247,4830,0010CZS390,안성JC,안성IC,,,,
