real12,pred12,real3,pred3
91.206055,95.6382,92.23207,95.95945
91.53463,95.89793,93.97174,95.193565
91.19179,95.68133,95.32427,94.97061
93.38485,95.352394,92.08,94.04991
91.11695,95.127365,90.92242,93.73983
91.700966,94.88015,90.16774,93.98001
93.82,94.95106,97.46307,93.63242
91.044266,94.08359,93.76851,92.89849
92.54455,93.37053,90.49125,92.48419
94.08083,93.83739,91.206055,93.80809
91.40679,93.199356,91.53463,93.38598
91.24887,92.78721,91.19179,92.90842
93.34,92.544304,93.38485,92.70966
88.5,92.27966,91.11695,92.46664
92.89119,92.127106,91.700966,92.294075
90.52143,92.28231,93.82,92.68696
90.60659,92.27931,91.044266,92.49271
92.77051,92.37981,92.54455,92.55228
93.82979,92.52249,94.08083,92.8406
90.54667,92.30334,91.40679,92.566635
94.69742,92.36153,91.24887,92.67065
94.82196,92.404976,93.34,92.75838
95.519,92.25761,88.5,92.52891
99.24407,92.22017,92.89119,92.51706
87.89413,92.17313,90.52143,92.621544
92.932,91.7385,90.60659,92.04009
95.39571,91.91832,92.77051,92.38549
90.05315,91.509964,93.82979,92.0492
92.566154,91.33913,90.54667,91.823105
87.60384,91.36218,94.69742,92.03557
92.078,91.314766,94.82196,92.01111
88.94727,91.21089,95.519,91.899956
93.27294,91.32358,99.24407,92.048904
94.478294,91.29395,87.89413,92.0591
95.39769,91.64741,92.932,92.460945
92.25576,91.8071,95.39571,92.95765
92.671425,91.02362,90.05315,92.08238
93.47943,91.28279,92.566154,92.44507
90.23861,91.69055,87.60384,92.78978
101.21535,91.597374,92.078,92.673004
88.926,91.96395,88.94727,93.04421
89.75613,91.49631,93.27294,92.43966
91.80634,91.43852,94.478294,92.53238
93.75971,90.91511,95.39769,92.02467
92.3731,91.04797,92.25576,92.08986
90.30688,90.72454,92.671425,91.75138
93.46125,90.6927,93.47943,91.80277
92.488075,90.381355,90.23861,91.69801
90.66889,90.30342,101.21535,91.69853
92.09615,90.15793,88.926,91.56235
91.543846,89.88465,89.75613,91.2863
87.575356,89.99498,91.80634,91.32713
89.2725,89.58259,93.75971,91.38199
89.69956,89.650024,92.3731,91.37342
95.79963,89.68608,90.30688,91.45357
88.71571,89.71674,93.46125,91.41263
87.46909,89.565346,92.488075,91.30244
90.56591,89.359726,90.66889,91.10078
87.99,89.21786,92.09615,91.04307
90.38636,89.244255,91.543846,91.075294
90.2184,89.09115,87.575356,90.87711
86.5124,88.96763,89.2725,90.79739
90.5625,88.65047,89.69956,90.41703
92.91428,88.314766,95.79963,89.72174
79.53846,88.41141,88.71571,89.76287
84.22357,88.459,87.46909,89.94983
85.42286,88.12951,90.56591,89.80183
